
 Avg. Latency per case 
 avg cn1  avg cn2  avg cn3  avg cn4  avg cn5 
  1046.8     11.9     10.9    101.9    508.3 
   146.0    240.2     57.9    598.2    519.2 
  1001.0   1192.8    509.6     24.8     60.1 
  1090.9    119.5    502.0    219.3    500.1 
   208.3    108.7     99.8   1087.6     38.4 
   148.5    201.3     54.8    220.0    200.4 
    69.9    208.6   1019.8    201.0   1010.5 
  1085.6     21.0     31.0     69.7    104.9 
  1049.8    104.8     24.6     15.1    680.8 
  1446.6    215.5    504.8   1481.3   1047.7 
  1001.8    502.0    105.0   1472.1    245.1 
  1002.0   1179.0     68.7    218.8     10.9 
    11.6     52.0    532.2    519.7    521.3 
  1074.8     24.9    105.7    550.6     21.9 
   149.1   1019.7    513.8   1999.9    515.7 
    22.1   1012.9   1493.3   1019.7    596.2 
   645.2     53.9     25.0    530.2    504.9 
    24.7    200.3   1004.7    690.5    201.8 
  1017.6   1001.9   1018.4     59.6    500.6 
    11.9    209.0   1192.9     99.8   1009.8 
    28.8      6.0     22.0   1195.4    696.8 
   522.1     59.7    550.5   1002.8    596.7 
   101.0      6.9     22.0    504.6   1002.1 
  1002.0   1431.0    597.4    101.0   1040.5 
  1002.0   1200.7   1494.7    192.0    253.1 
   523.5    390.2      7.1    504.8    502.0 
   676.9    215.2     29.3     22.0    249.0 
  1009.8     56.6   1505.0    200.3   1004.4 
   104.9    218.2    109.8   1167.1    996.3 
   105.0   1011.2   1010.6     20.8     59.8 
   502.6   1992.8    119.4    574.1   1994.3 
    10.9   1032.4   1127.8    241.1    109.5 
   595.3    687.8      6.1    208.8      7.0 
   149.4    500.6     12.0     59.7    595.6 
   503.5   1000.6    101.9     21.9    249.3 
   503.8   1176.2    503.0    118.3    202.0 
    11.1    144.8   1977.9    597.0    588.5 
   101.0     69.9    992.3     51.0    148.8 
    97.8    110.4   1997.5   1005.2   1019.9 
   537.1    502.0     19.6    516.4    530.8 
    24.6    500.3    597.2   1903.5    712.7 
   668.8     65.2    248.8    541.2     12.1 
  1099.0     29.8     25.3   1529.9    502.0 
  1049.7   1054.8    100.4   1052.2    681.5 
   510.0    500.0     12.0     97.6    241.5 
   394.0    149.7    501.3     24.6    509.0 
   594.6    513.9   1076.5    209.5    559.9 
  1171.5    104.7    101.0   1009.9    997.9 
   504.1   1001.0   1198.8     69.5     50.9 
   597.5   1018.7    671.6    598.8   1009.8 
   200.1   1009.2    249.4     50.9   1048.8 
     6.9    504.8   1968.7    119.8    101.0 
   201.9    500.2     69.7    674.8    246.7 
  1173.4     65.9    293.7     19.7    388.5 
  1488.6    244.5     66.6   1010.7    101.0 
   209.6    100.2    101.9   1002.2   1020.5 
    97.4    500.6    504.9    501.1    696.6 
   502.5     71.4     59.3     55.0     54.9 
   200.3     21.9      7.3     39.7    519.2 
   989.4    210.0     24.8   1000.4   1151.1 
   202.1    502.0    297.1     20.9    378.4 
  1004.7   1194.6   1097.3    246.7   1001.9 
   309.6   1479.3    543.8   1004.9    199.7 
    70.1     20.9    105.0    509.5    548.3 
