
 Count of not schedulable tasksets: 57 
 Mean of utilization:    0.549 
 Median of utilization:    0.547 
 Indiv. Chain Reaction time and WCRT in multi-chain model without deadline miss termination 
  chnPrio   ReactT     WCRT   origID 
      23 4546.903 2273.451       24 
      24 4546.924 2273.462        5 

Min. utilization: 0.377 
       1    2.270    0.270        2 
       2  231.287  115.644       14 
       3   16.567    6.567        6 
       4  164.994   64.994       26 
       5   18.538    8.538       24 
       6  172.725   72.725       18 
       7   23.497   11.748       10 
       8   26.463   13.231       23 
       9  351.410  175.705        5 
      10  179.192   89.596        4 
      11   50.929   25.464       22 
      12  399.406  199.703        3 
      13   58.341   29.171        9 
      14   67.326   33.663       11 
      15  108.765   54.382        8 
      16  475.995  237.998       12 
      17  113.144   56.572       16 
      18  271.296  135.648       27 
      19  271.868  135.934       21 
      20  514.160  257.080        7 
      21  274.555  137.277       13 
      22  275.504  137.752       19 
      23  275.834  137.917       15 
      24  277.143  138.572       17 
      25  531.389  265.694       20 
      26  531.713  265.856       25 
      27  532.803  266.401        1 

Min. utilization: -1.000 
       1    2.058    0.058        3 
       2    3.058    1.058       21 
       3    3.536    1.536       27 
       4   10.087    5.043       12 
       5  634.195  317.098        2 
       6   11.843    5.922        6 
       7   47.126   23.563       11 
       8    3.000   -1.000       17 
       9    3.000   -1.000       31 
      10   19.000   -1.000       23 
      11   19.000   -1.000       28 
      12   19.000   -1.000       26 
      13   59.000   -1.000       19 
      14   19.000   -1.000        1 
      15   79.000   -1.000        9 
      16   79.000   -1.000       24 
      17   39.000   -1.000       14 
      18  199.000   -1.000       18 
      19   99.000   -1.000       10 
      20   99.000   -1.000       25 
      21   99.000   -1.000       30 
      22  199.000   -1.000       20 
      23  199.000   -1.000        4 
      24  199.000   -1.000        5 
      25  199.000   -1.000        8 
      26  199.000   -1.000       15 
      27 1099.000   -1.000       16 
      28 1999.000   -1.000       13 
      29 1999.000   -1.000       22 
      30 1999.000   -1.000       29 
      31 1999.000   -1.000        7 

Min. utilization: 0.420 
       1    2.628    0.628        8 
       2   58.852   29.426       11 
       3   35.928   15.928       13 
       4   36.802   16.802        1 
       5   73.774   33.774        7 
       6   73.780   33.780        5 
       7   73.986   33.986       10 
       8   74.664   34.664       12 
       9   74.953   34.953        9 
      10  187.107   87.107       14 
      11  370.925  170.925        4 
      12  370.954  170.954        3 
      13  371.040  171.040        6 
      14  371.146  171.146        2 

Min. utilization: 0.410 
       1  101.233    0.233       14 
       2 2102.331 1002.331       31 
       3    6.479    2.479       19 
       4    6.684    2.684       24 
       5    6.895    2.895       32 
       6    7.106    3.106       34 
       7    7.237    3.237       15 
       8  260.468  130.234       25 
       9   10.731    5.366        7 
      10   11.191    5.596        5 
      11   11.602    5.801       20 
      12   37.280   17.280       10 
      13  303.535  151.767       35 
      14   38.548   18.548       29 
      15   38.772   18.772        3 
      16   39.061   19.061       30 
      17   39.968   19.968        4 
      18   46.968   23.484       26 
      19   52.922   26.461       28 
      20  198.436   99.218       13 
      21  414.390  207.195       33 
      22 4062.965 2031.483       18 
      23   99.525   49.763       16 
      24  101.243   50.622       27 
      25  102.789   51.395       23 
      26  103.103   51.551       21 
      27  234.286  117.143        8 
      28  234.750  117.375       36 
      29  459.180  229.590        2 
      30  459.772  229.886       22 
      31  459.921  229.960        9 
      32 4359.370 2179.685        6 
      33 4359.394 2179.697       12 
      34 4359.414 2179.707        1 
      35 4359.429 2179.715       11 
      36 4359.439 2179.720       17 

Min. utilization: -1.000 
       1    2.328    0.328        3 
       2    3.328    1.328        9 
       3  298.419  149.210       14 
       4   35.755   15.755        8 
       5 3183.257 1591.628        2 
       6    7.462    3.731       18 
       7   11.411    5.706       22 
       8   23.259   11.629        7 
       9    1.000   -1.000       16 
      10    9.000   -1.000       11 
      11   19.000   -1.000       23 
      12   19.000   -1.000       15 
      13  199.000   -1.000       12 
      14   39.000   -1.000        5 
      15   39.000   -1.000       19 
      16  199.000   -1.000       13 
      17   39.000   -1.000        4 
