
 Count of not schedulable tasksets: 38 
 Mean of utilization:    0.486 
 Median of utilization:    0.489 
 Indiv. Chain Reaction time and WCRT in multi-chain model without deadline miss termination 
  chnPrio   ReactT     WCRT   origID 
      16   74.335   34.335       33 
      17   74.626   34.626       28 
      18   74.841   34.841       35 
      19   75.146   35.146       37 
      20   75.434   35.434       38 
      21  306.267  153.133       42 
      22 2950.759 1475.380       25 
      23  178.398   78.398       26 
      24  178.704   78.704       16 
      25  178.898   78.898       31 
      26  311.050  155.525        3 
      27  179.766   79.766       34 
      28  183.950   83.950       30 
      29  184.614   84.614       22 
      30  359.073  159.073       27 
      31  359.192  159.192        8 
      32  359.457  159.457       11 
      33  359.631  159.631        6 
      34  359.669  159.669       32 
      35 3535.623 1535.623       13 
      36 3535.626 1535.626        2 
      37 3535.630 1535.630       20 
      38 3535.638 1535.638        7 
      39 3535.642 1535.642       14 
      40 3535.647 1535.647       39 
      41 3535.652 1535.652       23 
      42 3535.656 1535.656       17 

Min. utilization: 0.301 
       1    2.082    0.082        7 
       2   60.900   20.900       15 
       3  106.223   53.111       30 
       4   61.534   21.534       35 
       5    7.176    3.176        1 
       6   31.679   11.679       41 
       7    8.517    4.258       28 
       8    8.853    4.427        5 
       9    9.203    4.601       11 
      10   33.680   13.680        8 
      11 3231.795 1231.795       17 
      12 3233.280 1233.280       39 
      13   36.624   16.624       10 
      14   37.722   17.722        6 
      15 3499.896 1499.896        2 
      16   39.940   19.940       20 
      17  314.432  157.216       26 
      18   50.819   25.409       33 
      19   94.801   47.400       27 
      20  194.274   97.137       19 
      21   98.381   49.190       38 
      22   98.819   49.409       36 
      23  391.961  191.961        4 
      24  100.405   50.203       25 
      25  101.720   50.860       40 
      26  104.990   52.495       23 
      27  105.648   52.824       21 
      28  106.658   53.329       22 
      29  108.872   54.436       18 
      30  435.832  217.916       16 
      31  438.499  219.249       24 
      32  115.174   57.587       32 
      33  233.477  116.738       14 
      34  233.882  116.941       31 
      35 4270.164 2135.082       42 
      36  234.500  117.250       13 
      37  459.647  229.823       29 
      38  461.762  230.881        3 
      39  462.763  231.382       34 
      40  463.446  231.723        9 
      41  464.841  232.420       12 
      42  465.246  232.623       37 

Min. utilization: 0.540 
       1    2.253    0.253       17 
       2    3.253    1.253       22 
       3 3338.591 1338.591       23 
       4    3.762    1.762       13 
       5    7.655    3.655        1 
       6    7.749    3.749        8 
       7   19.315    9.315       19 
       8   38.266   19.133       14 
       9   43.706   21.853       12 
      10   45.648   22.824        3 
      11 4175.804 2087.902       18 
      12   47.823   23.911       15 
      13   50.369   25.185       24 
      14   94.160   47.080        4 
      15   95.579   47.790       21 
      16   99.714   49.857       25 
      17  103.920   51.960        9 
      18  107.347   53.673       10 
      19  110.094   55.047        6 
      20  506.974  253.487       27 
      21  509.487  254.743        2 
      22  509.561  254.780       26 
      23  511.675  255.837       20 
      24  514.978  257.489       16 
      25  517.519  258.759       11 
      26 5026.650 2513.325        7 
      27 5026.666 2513.333        5 

Min. utilization: 0.379 
       1    2.083    0.083       16 
       2    3.083    1.083       18 
       3    3.253    1.253       23 
       4    3.422    1.422        8 
       5    3.553    1.553       22 
       6 3513.233 1513.233        1 
       7   35.643   15.643       11 
       8  323.951  161.975       21 
       9   37.731   17.731        7 
      10   75.377   35.377        9 
      11   46.230   23.115       14 
      12 4135.346 2067.673       20 
      13   55.398   27.699        6 
      14 4305.853 2152.926        4 
      15   58.653   29.327        5 
      16  109.693   54.846       24 
      17 4707.542 2353.771       13 
      18  110.869   55.435       12 
      19  111.609   55.804       10 
      20  499.305  249.652       17 
      21  501.670  250.835       15 
      22  502.498  251.249        3 
      23  505.458  252.729        2 
      24 4827.846 2413.923       19 

Min. utilization: 0.420 
       1   40.464    0.464        7 
       2   60.464   20.464       15 
       3    4.056    2.028       12 
       4   31.572   11.572        2 
       5   31.928   11.928        4 
       6   32.267   12.267        6 
       7 2300.785 1150.393        1 
       8  315.733  115.733       11 
       9   65.241   25.241        5 
